見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2,備考
つながるんや＠わかやま,,第1回わかやま若者・ひきこもり者支援交流集会,(1)13:00～14：00 基調講演「地域で取り組む『ひきこもり』支援」、講師：小野善郎(県精神保健福祉センター所長)(2)14：10～15：40シンポジウム「私たちの生き方・過ごし方」、語り手：ひきこもり経験者２人、聞き手：野中康博氏（麦の郷ハートフルハウス創センター長）③16:00～17:30 交流会・家族会,12月14日(水),和歌山ビッグ愛(和歌山市),,60人(先着順）,,,,電話、ファックスで氏名、電話番号、支援者は所属などを12月13日までに県精神保健福祉センター、電話073-435-5194ファックス073-435-5193,,,,http://www.pref.wakayama.lg.jp/prefg/040400/050301/index1.html,,,,手話通訳・要約筆記は要予約
県難病・子ども保健相談支援センターからのお知らせ,,(1)「こころの声が言葉になる」 ～院内学級の子どもたちが教えてくれた大切なこと～小児がんなど長期療養児への理解を深める,講師：副島賢和氏(昭和大学大学院保健医療学研究科准教授),1月14日(土)13:30～15:30,プラザホープ(和歌山市),長期療養児と家族、関係者,各50人(先着順）,,,,電話、ファックスで参加したい行事名、氏名、電話(ファックス)番号を1月6日(一時保育・手話通訳希望者は12月28日)までに県難病・子ども保健相談支援センター　電話073-445-0520　ファックス073-445-0603,,,,http://www.pref.wakayama.lg.jp/prefg/041200/050300/kodomo/index.html,,,,
県難病・子ども保健相談支援センターからのお知らせ,,(2)病気や障害のある子どもの支援者研修会,講師：武田鉄郎氏(和歌山大学大学院教育学研究科教授),1月23日(月)13:30～15:30,御坊保健所,病気や障害のある子供の家族、保健・医療・福祉・教育関係者など,各50人(先着順）,,,,電話、ファックスで参加したい行事名、氏名、電話(ファックス)番号を1月20日(手話通訳希望者は12月28日)までに県難病・子ども保健相談支援センター　電話073-445-0520　ファックス073-445-0603,,,,http://www.pref.wakayama.lg.jp/prefg/041200/050300/kodomo/index.html,,,,
県難病・子ども保健相談支援センターからのお知らせ,,(3)筋萎縮性側索硬化症患者・家族交流会,,1月28日(土)13:30～15:30,県立医大病院(和歌山市),筋萎縮性側索硬化症患者、家族,30人（先着順）,,,,電話、ファックスで参加したい行事名、氏名、電話(ファックス)番号を1月12日(手話通訳あり(要予約))までに県難病・子ども保健相談支援センター　電話073-445-0520　ファックス073-445-0603,,,,http://www.pref.wakayama.lg.jp/prefg/041200/050300/kodomo/index.html,,,,
職業訓練受講生,就職に有利な専門知識や技能を修得,科目：(1)介護初級科(2)(4)パソコン基礎科(3)CAD･NC技術科(5)パソコン･総務経理事務科(6)パソコン･簿記事務科,,1月より随時開始,(1)～(3)和歌山市(4)御坊市(5)田辺市(6)新宮市,,(1)(3)各15人(2)(5)各20人(4)(6)各14人（選考）,"(1)(2)(4)～(6)10,000円程度(3)5,000円程度（テキスト代など）",,(5)12月19日(1)(2)(4)21日(6)22日(3)1月10日までにハローワーク,,,,,http://wakayama-roudoukyoku.jsite.mhlw.go.jp/riyousha_mokuteki_menu/kyushokuchu/201712.html,,,,
自死遺族支援関連研修,,(1)12:30～13:50 講演会「一人で抱え込まないでね」講師：岩崎順子氏(県人権啓発センター登録講師)、(2)14:00～14:40 箏(こと)コンサート、(3)14:50～16:30 わかちあいの会,,12月17日(土),和歌山ビッグ愛(和歌山市),(3)は大切な人を自死で亡くされた方,20人（先着順）,,,,電話、ファックスで氏名、電話番号を12月16日までに県精神保健福祉センター。電話073-435-5194　ファックス073-435-5193,,,,http://www.pref.wakayama.lg.jp/prefg/040400/050301/28ippannmuke.html,,,,
発達障害に関する講演会,,講師：市川宏伸氏(日本自閉症協会会長),,1月15日（日）12:30～16:00,紀南文化会館(田辺市),,800人（先着順）,,,,ファックス、Eメールで所定の申込書(申込先で配布)を県発達障害者支援センターポラリス。電話073-413-3200　ファックス073-413-3020,,,,http://aitoku.or.jp/wordpress/%E5%B9%B3%E6%88%9026%E5%B9%B4%E5%BA%A6%E3%80%80%E8%AC%9B%E6%BC%94%E4%BC%9A%E3%81%AE%E3%81%8A%E7%9F%A5%E3%82%89%E3%81%9B/,,polaris@jtw.zaq.ne.jp,,手話通訳は要予約
潜在保育士再就職支援研修会,,,,(1)1月19日(木)(2)23日(月)(3)24日(火)(4)25日(水)いずれも10:00～14:00,(1)いなみこども園(印南町)、(2)紀伊保育園(和歌山市)、(3)こどものへや保育園(田辺市)、(4)しらゆり保育園(岩出市),,各5人（先着順）,,,,電話、ファックスで所定の申込書(申込先、WEBサイトで配布)を１月10日までに(1)(2)(4)県福祉人材センターハートワーク  電話073-435-5211　ファックス073-435-5209　(3)紀南福祉人材バンク　0739－26－4918　ファックス0739－26－2928,,,,http://www.wakayamakenshakyo.or.jp/,,,,
「病気や障害のある子どもと障害者差別解消法」学習会,,講師：青木志帆氏(明石市障害者・高齢者支援担当課長),,1月21日(土)13:30～15:30,県立医大病院 (和歌山市),病気や障害のある子供の家族、保健・医療・福祉・教育関係者など,40人（先着順）,,,,電話、ファックスで学習会名、氏名、電話番号を(一時保育希望者は12月28日までに)県難病の子ども家族会事務局。電話073-445-0520　ファックス073-445-0603,,,,,,,,
がん患者・家族、県民のための公開講座,テーマ：乳がんが教えてくれた私らしい生き方,講師：園田マイコ氏（モデル）,,1月29日(日)14:00～16:00,県立図書館(和歌山市),,200人（先着順）,,,,電話、ファックスで氏名、電話番号を12月15日から県立医大病院患者支援センター。電話073-441-0778　ファックス073-441-0862,,,,http://www.wakayama-med.ac.jp/hospital/,,,,手話通訳は要予約
